Audio File,Transcribed Text
audio1.m4a, That was a fantastic presentation. I'm really impressed.
audio10.m4a," After watching the performance, I couldn't help but admire the level of skill and dedication."
audio100.m4a, It's strange how something so familiar can bring so much sadness when it's gone.
audio101.m4a, The good bye was hard that I expected.
audio104.m4a, This is probably the best action movie I've seen in a while. All the action sequences were incredible and well performed.
audio106.m4a, I've never imagined that a simple walk through the city could bring so much reflection on life. The way each street and every corner reminds me of old memories and makes me question how quickly time passes by without truly noticing.
audio107.m4a," I didn't think I would like this, but it completely surprised me."
audio108.m4a," Amazing, the plot wasn't expected, I thought I had to figure it out, but every twist kept me guessing."
audio109.m4a, Totally unexpected. This show took me by surprise in the best way possible.
audio11.m4a, I'm really impressed by the amount of work that went into this.
audio110.m4a, Totally caught me off guard.
audio111.m4a, That was way better than I expected.
audio112.m4a, Joyful.
audio113.m4a, I cannot help but laugh. This experience has been pure joy from the start to finish.
audio114.m4a," This is such a nublifting experience, I feel light and joyful."
audio115.m4a," That concert was pure joy, the energy from the crowd and the music had me dancing all night."
audio116.m4a, Nothing ever seems to go right lately and it's getting exhausting.
audio117.m4a, I keep trying but nothing ever changes. It's all just the same.
audio118.m4a, I don't know how much longer I can keep going like this.
audio119.m4a," It feels like I'm stuck in a loop, unable to escape."
audio12.m4a, That was truly amazing.
audio120.m4a, The more I try the worse it gets.
audio121.m4a, It's impossible to keep up with everything.
audio122.m4a, I'm getting tired of repeating myself.
audio123.m4a, I keep hearing dead ends no matter what I try.
audio124.m4a, Your support during this difficult time has been my anchor. I can't express how much that meant to me.
audio125.m4a, The way you handled that challenging situation showed incredibly leadership and composure.
audio126.m4a," Every time I think about the presentation tomorrow, my heart starts racing and I feel completely overwhelmed."
audio127.m4a," Despite the setbacks, I believe we are on the right track and I will achieve our goal soon."
audio128.m4a, I spent weeks preparing for this opportunity only to have it cancel at the last minute.
audio129.m4a," Finally, submitting that project felt like putting down a heavy backpack out been carried for months."
audio13.m4a, Incredible.
audio130.m4a, These shrugs have kept changing and now I'm not sure what I'm supposed to be focusing on.
audio131.m4a, Just got the email confirming our vacation plans. I can wait to finally see the ocean.
audio132.m4a," When my phone started ringing during the speech, I wanted to disappear into the floor."
audio133.m4a, I never expect them to remember my birthday and alone playing this entire celebration.
audio134.m4a," It's been a year since we lost him, but some days the pain feels just as fresh as the first day."
audio135.m4a, The dog's reaction to seeing snow for the first time had as laughing until we cried.
audio136.m4a, The state of the kitchen after my roommates party was absolutely revolting.
audio137.m4a, I've always wondered how they create those incredible special effects in movies.
audio138.m4a, My hands won't stop shaking and I keep forgetting what I was about to say.
audio139.m4a," After reviewing all the proposals, yours stands out as the most comprehensive and well-researched."
audio14.m4a, I had no idea the product would be this good. I'm honestly amazed at how it works.
audio140.m4a, Looking through these old photographs brings back memories that make my heart ache.
audio141.m4a, Dancing in the rain with my best friends today was the most freeing feeling I've had in years.
audio142.m4a," If I could go back and change how I responded to her, I absolutely would."
audio143.m4a, Watching you with our child makes my heart feel so full it might burst.
audio144.m4a, They promised to fix this issue three weeks ago and nothing has been done.
audio145.m4a, It just click that the solution was hitting in plain sight all along.
